Company_Name,Overall_Rating,Work_Life_Balance,Mentorship_Rating,Learning_Experience,Total_Reviews
Bersoft Infotech Pvt Ltd,4.2,3.9,4,5,407
Beta Analytics,3.8,3.4,3.2,4.2,774
Beta Consulting,3.5,2.8,3,3.9,172
Beta Corp,4,3.7,3.8,4.1,146
Beta Data,3.6,2.9,4.1,3.9,222
Beta Dynamics,3.4,3.6,4,3.6,808
Beta Inc,4.1,3.9,3.1,3.6,428
Beta Innovations,3.5,4.2,3.1,4,124
Beta Labs,3.5,3.7,4,4,469
Beta Networks,3.8,3.6,4.1,3.6,826
Beta Security,4,4.2,3.4,3.9,523
Beta Software,3.9,3.6,3.9,4.3,902
Beta Solutions,4.8,3.8,5,4.9,146
Beta Systems,3.8,3.9,3.6,3.7,372
Beta Technologies,3.7,2.8,2.3,4.5,809
Bharat Cloud Technologies,4.3,3.9,4.7,5,154
Bharat Sec Limited,2.8,2.5,3.1,3.6,99
Bharat Services Analytics,3.4,3.5,3.5,3.7,37
Bharat Soft Pvt Ltd,3.7,3.8,3.6,3.4,280
Bharat Sys Analytics,3.6,4.1,3.2,3.7,230
Bharat Web Technologies,3.8,3.2,3.2,3.7,97
Bhari Information Technology Systems Pvt. Ltd.,4.8,4.1,4.7,3.5,617
Bharti Infotrac Ltd.,2.9,3.9,3.7,3.7,73
Bharti Telesoft Ltd.,5,3.8,2.9,3.6,58
Bhilwara Infotech Limited,3.5,2.1,3.5,3.2,730
Binary Semantics Limited,2.8,3,2.9,4.9,306
Bindview India Private Limited,3,4.1,4.5,4.7,452
Birla Technologies Ltd,4.1,5,4.6,3.3,370
Birlasoft Limited,3.7,5,3,3.9,481
Blue Chip Computer Consultants Pvt. Ltd.,4.2,4.3,3,4.2,144
Blue Star Infotech Ltd,3.6,2,3.5,5,295
BMC Software India Pvt. Ltd.,3.7,3.6,3.7,4.1,360
Boston Education & Software Technologies Pvt. Ltd.,3,3.6,3.7,3.4,728
Botree Software International Ltd,5,4.1,3.6,5,103
BPB Publications,2.9,2.8,2.9,4.5,73
BPL Innovision Technologies Pvt Ltd,4.7,4.2,4.4,4.7,343
BPL Telecom Ltd.,3.7,3.9,3.1,3.5,470
Brigade Corporation India Pvt Ltd,3.8,3.7,5,4.3,728
BrowserStack,4.2,4.7,3.3,4.6,133
BSEL Information Systems Limited,3.9,3.5,2.9,3.5,261
BT (Worldwide) Ltd.,3.4,3,3,4.7,65
BTN Infotech India Pvt Ltd,4.3,4.4,5,2.5,482
Busy Infotech Pvt. Ltd,2.6,2.9,3.8,4.7,160
CA Computer Associates India Pvt Ltd,4.1,3.7,3.5,5,415
Cadence Design Systems India Pvt. Ltd.,4.4,3,3.9,4.5,37
Caldera International Inc,3.9,3,4.4,3.7,937
California Software Co. Ltd.,4.2,4.6,4.2,3,588
Cambridge Technology Partners,4.3,3.1,4.4,5,154
Canbank Computer Services Ltd.,4.1,4,4.4,3.9,809
Canon India Pvt Ltd.,3.8,3.2,3.6,4.7,492
Cap Gemini Ernst & Young Consulting India Pvt Ltd,3.7,4,3.5,5,163
Capgemini,3.3,4.1,4.1,3.2,681
Capgemini Technology Services,4.6,4.8,3.5,4.9,367
Care & Cure International Ltd,3.7,1.3,3.3,5,755
Cashtech Solutions India Pvt Ltd,4,4.1,5,3.8,396
"CA-TCG Software, Pvt. Ltd.",4.1,4.4,4.9,5,252
CCE Software,4.4,2.8,4,5,383
CDS International Ltd,3.7,3.1,4.4,3.1,374
CE Info Systems Pvt. Ltd.,3.6,4.6,3.1,2.6,160
Celcius Technologies Pvt. Ltd,2.8,4.5,3.2,5,37
Cellnext Solutions Ltd,3.5,3.7,4.1,5,151
Celstream Technologies Pvt Ltd,3.5,3.7,2.9,4.1,434
Centre for Development of Advanced Computing (C - DAC),4.8,4.3,4.3,3.3,976
Centre for Development of Telematics,3.8,2.9,4.8,4.2,542
Cerebra Integrated Technologies Ltd,3.5,3.8,3.7,4.3,58
CG Maersk Information Technologies Pvt. Ltd.,3.3,4.4,3.7,5,338
CGI Information Systems and Management Consultants Pvt Ltd,3.2,3.5,5,4.7,500
CG-Smith Software Limited,3.7,3.4,5,3.6,31
CG-VAK Software & Exports Ltd.,3.9,2.5,3.4,5,289
Chakkilam Infotech Ltd,3.2,4.5,3.6,5,265
Chandigarh Infotech Centre Ltd.,3.6,3.4,2.3,3.4,483
Changepond Technologies Pvt Ltd,3.1,2.8,5,3.3,370
Chenab Information Technologies Pvt. Ltd.,3,4.9,3.5,4.3,431
Cherrysoft Technologies Ltd,4,2.9,4,4.9,104
Churchill India Pvt. Ltd.,4,3.8,4.9,3.5,339
Cisco,4.2,2.9,4.9,4.5,304
Cisco Systems (India) Pvt. Ltd.,3.8,3.6,3.6,2.6,617
Cisco Systems India,2.9,5,2.9,5,93
CISTEMS (Software) Ltd.,3.9,4.2,5,3.6,291
Citrix Software Ltd,3.4,3.3,3.4,3.6,360
CLC Technologies Ltd,3.3,4.1,2,3.8,321
Cloud Analytics,3.4,3.8,3.6,3.2,970
Cloud Cloud Group,3.7,3.1,2.7,4.5,346
Cloud Data,5,5,5,5,884
Cloud Defense,4.5,4.7,5,4.5,561
Cloud Dynamics,2.2,3.2,1.6,2.1,446
Cloud Inc,5,4.5,5,4.9,703
Cloud Labs,3.4,3.5,3.3,3.8,407
Cloud Labs Analytics,3.4,2.7,3.3,3.1,188
Cloud Networks,4.2,4.7,3.8,3.8,966
Cloud Security,2.5,2.7,2.5,3.3,460
Cloud Software,3.6,5,3.3,4.1,937
Cloud Solutions,4.1,3.7,4.8,5,4747
Cloud Space Ventures,2.4,2.4,2,3.1,29
Cloud Systems,4.9,5,5,5,594
Cloud Technologies,3.3,3.4,3.8,3.7,57
Clover Technologies Pvt Ltd,3.9,2.2,3.8,4.4,235
CMC Limited,3.7,3.6,3.9,5,319
Coforge Limited,3.7,4.1,2.6,3.9,469
Cogito Technologies Ltd,4,3.8,3,3.6,163
Cognizant,5,4.6,5,5,139
Cognizant Technology Solutions,3.1,3.9,2.8,3.5,379
Cognizant Technology Solutions India Pvt. Ltd.,2.7,4.7,3,4.6,410
Cognosys Software Pvt Ltd,4.1,4.6,5,3.5,457
Compudyne Winfosystems Limited,3.3,2.9,3.7,2.8,774
Compulink Systems Pvt Ltd,3.5,3.5,4.3,3.6,163
Computech International Limited,3.6,4.6,4.1,2.8,372
Computer Clinic India Pvt. Ltd.,4,4.6,4.7,2.8,225
Computer Sciences Corporation India Pvt Ltd,3.1,5,3.4,2.5,133
Congruent Solutions Pvt. Ltd.,2.2,4.6,3.7,3.9,959
Consindia Private Limited,4.2,3.8,4.2,3.6,152
Consolidated Futuristic Solutions Ltd,4.1,3.5,4.7,4.1,476
Consulting Engineering Services (I) Ltd,3.5,3.5,2.6,5,65
Contech Software Ltd.,4.3,5,3.3,4.8,281
Convergent Software Limited,3.7,1.2,2.3,4.1,370
Convergys India Services Pvt Ltd,4.8,2.6,4.8,3.3,850
Cordiant Interweb Technologies Pvt Ltd,3,4.6,4.6,3.7,681
Core Consulting,3.9,4.2,4.9,3.8,911
Core Corp,2.6,2,2.4,2.8,934
Core Defense,4.1,4.6,3.9,4.3,867
Core Group,2.2,3,2.9,2.6,126
Core Innovations,5,3.9,4.5,5,799
Core Labs,2,1.2,1.1,2.5,767
Core Networks,3.1,3.6,3,4,319
Core Security,2.1,2.3,1.7,2,464
Core Solucomm Ltd,3.5,3.5,4.2,5,113
Core Tech,4,3.4,3,3.9,757
Cosmic Infotech Solutions,5,4.4,5,3.7,193
Cosystems Technologies Private Limited.,3.4,1.8,3.9,4.1,302
Covansys India (Private) Ltd.,4.1,3.6,3.4,4.2,287
Cranes Software International Ltd.,3.4,3.3,4,3.2,176
"Creatnet Services Ltd., New",3.9,4,3.7,3.4,114
Cresco Technology (P) Ltd.,3.5,4.8,3.9,4.6,543
Crossdomain Solutions Pvt Ltd,3.7,4.3,2,3.8,50
Crossword Software Pvt Ltd,3.6,3.8,4.2,3.5,359
CrowdStrike,4.2,4.4,3.8,4.5,971
Cruise Controls Pvt Ltd,3.3,4.2,3.8,4,337
CustomerAsset India Pvt. Ltd.,3.1,4.2,2.9,4.5,444
Cyber Analytics,2.9,2.2,2.6,3.7,297
Cyber App Limited,3.6,2.9,4.1,3.6,360
Cyber Consulting,3.6,3.3,4.4,3.9,787
Cyber Corp,2.9,2.9,3.6,3.2,89
Cyber Cyber Limited,4.1,3,3.6,4.2,279
Cyber Defense,4.3,4.7,4.5,4.6,551
Cyber Dynamics,4,3.9,3.7,4.2,777
Cyber Initiatives (India) Ltd,5,5,4.2,4,376
Cyber Innovations,4.2,4.1,3.9,4.8,239
Cyber Labs,4,3.6,4,4,934
Cyber Link Innovations,4.1,4.1,4.3,4.4,132
Cyber Networks,3.3,3.2,3.5,3.8,193
Cyber Sec Innovations,4,4,4,4.8,278
Cyber Security,3.4,3.3,3.3,3.7,186
Cyber Services Networks,5,5,5,4.8,182
Cyber Software,4.3,4.2,3.8,4.3,553
Cyber Solutions,3,2,3.7,2.8,889
Cyber Solutions Limited,3.5,4.1,3.9,3.4,420
Cyber Space Analytics,4.1,4.7,4.6,4.3,241
Cyber Space Networks,4.1,3.3,4.7,4.1,296
Cyber Systems,4.8,3.4,4.3,4.7,562
Cyber Technologies,3.3,3.4,4,4.2,34
Cyber Web Ventures,3.8,2.7,3.2,3.6,414
Cybertech Systems and Software Ltd.,2.8,4.2,4.7,3,360
CybizCall (Inter national) Ltd,4.5,2.8,3.3,4.5,783
Cygnus Software Pvt Ltd,4.5,2.9,3.2,3.1,964
Cygsoft Limited,2.9,3.4,3.6,3.7,231
Cyient Limited,4,4.7,4.1,3.6,77
D E Shaw India Software Pvt. Ltd.,3.8,5,4.1,4,179
Daksh eServices Pvt Ltd,3.7,5,5,3.6,431
Damco Advanced Technologies,4.3,2.8,3.8,4.1,193
Daniel Measurement & Control (India) Pvt Ltd,3.4,1.9,5,3.7,755
Danlaw Technologies India Ltd.,3.8,4,4,3.6,179
Data Cloud Pvt Ltd,3.5,2.9,3.6,3.7,472
Data Com Limited,4,3.5,4.6,4,390
Data Com Networks,3.5,4,4.1,3.8,39
Data Corp,2.7,1.6,2.5,3.1,687
Data Cyber Limited,3.6,4.1,3.6,3.7,134
Data Group,3.8,4.7,4.4,4,886
Data Hub Enterprises,3.5,3.2,3.1,3.9,405
Data Labs,4.5,5,5,4.3,723
Data Labs Analytics,3.1,4,2.2,3.2,113
Data Link Enterprises,4,4.6,5,3.7,172
Data Net Limited,4.1,5,4.3,4.9,263
Data Networks,3.3,4.4,2.9,3.7,141
Data Security,4.1,3.7,4.5,4.6,927
Data Soft Analytics,3.2,3.6,3.1,2.9,432
Data Soft Solutions,3.6,2.6,3.2,3.7,261
Data Software Research Company International Ltd.,3.4,4,4.2,3.5,775
Data Tech,3.7,3.8,3.1,4.1,287
Data Tech Enterprises,4.4,3.9,4.6,4.7,21
Data Tech Systems,3.5,2.9,3.3,4.3,206
Datacons Pvt. Ltd.,4,3.5,3.9,4,809
Data-Core (India) Ltd.,3.7,3.7,3.8,5,347
Datacraft India Ltd.,3.5,4.3,3.3,3.1,467
Datadog,4.1,5,4.2,4.7,685
Datamatics Ltd.,2.6,3.5,3.1,4.1,431
Datamatics Technologies Pvt. Ltd.,3.1,4.8,3.2,3.6,347
Datapro Infoworld Ltd.,3.6,4.2,3.6,4,146
Dawn Consulting,3.5,4,4,4.3,291
DCM Datasystems Ltd.,3.4,3.8,3.1,3.6,848
DCM Technologies Limited,4.3,3,4,3.4,257
DDE ORG Systems Ltd.,4.4,3.7,2.6,3.8,65
Deccan Infotech (P) Limited,3.9,3.1,3.8,3.3,467
Deccanet Designs Limited,4.2,4,4,3.1,77
Decision Technologies (India ) Pvt Ltd,4.1,3.1,4.2,4.7,175
Dell,5,4.3,4.6,5,748
Dell Technologies India,4.7,1.3,4,3.2,545
Deloitte India,3.8,3.9,2.9,4.5,576
Delsoft India Pvt. Ltd.,4.1,3.8,2.7,3.5,655
Delsys Infotech Pvt. Ltd.,4,3.2,2.6,5,470
Desi Com Limited,3.3,4.2,2.5,4,106
Desi Consulting Innovations,3.4,3.5,3.4,3.5,297
Desi Hub Ventures,3.3,3,2.6,3.8,248
Desi Info Solutions,4,3.4,4.4,4.5,326
Desi Link Labs,4.5,3.4,4.4,4.2,129
Desi Link Ventures,3.9,4.6,3.4,4.1,286
Desi Solutions Systems,4.3,3.5,4.3,4.1,165
Desi Space Innovations,3.8,3.4,4,4.1,318
Desi Tech Labs,4.1,5,4.5,4.2,174
Desi Tech Networks,3.3,4,3.7,4.1,34
Desi Web Solutions,3.9,4.1,4.7,4.4,289
DESS Technologies,3.8,3.9,5,4,755
Dexterity Business Analysts Private Limited.,3.1,2.8,3.4,3.7,172
Dharma AI Systems,3.8,4.3,5,4.4,126
Dharma App Ventures,4.4,4.5,4.3,4.1,428
Dharma Com Ventures,4.3,4.9,3.2,4.3,194
Dharma Consulting Limited,3,3.4,3.3,3.4,281
Dharma Cyber Group,2.3,2,1.8,3.6,135
Dharma Cyber Technologies,3.2,3,2.9,2.6,61
Dharma Data Enterprises,3.2,2.8,2.9,4.5,218
Dharma Hub Networks,4,4.8,4.6,3.3,434
Dharma Info Systems,4.2,5,4.7,5,372
Dharma Info Technologies,3.3,3.6,2.9,2.8,73
Dharma Sec Analytics,2.8,2.6,4.2,3.1,406
Dharma Soft Pvt Ltd,3,4.1,3.4,3.6,109
Dharma Sys Group,3.5,3.7,3.3,3.5,404
Dharma Sys Innovations,2.9,2.5,2.9,2.5,74
Dharma Systems Pvt. Ltd.,4.8,3.4,4.9,3.7,106
Differential Technologies Limited,3.5,4.4,4.2,4.6,295
Digital GlobalSoft Ltd.,2.4,3.4,5,4.1,898
"Digitec Engineers & Computech Pvt Ltd, Indore, MP",4.2,4.7,2.5,3.9,241
"Directorate of Technical Education, Punjab",2.6,3.8,5,3.5,279
"Disha Online (P) Ltd, Raipur (MP)",3.4,4.4,4.2,5,306
Divas Offshore Software Technologies (P) Ltd,4.3,3.4,4.4,4.5,610
divine India Limited,4.2,3.2,3.4,4.3,472
Dogma Soft Public Limited,3.5,4.3,4.5,4.3,380
DPS Technologies India Pvt Ltd,3.6,4.5,4.5,3.4,930
DRS Infosystems Ltd,4.2,3.4,4.7,2.8,89
Druva,4.1,4.7,2.5,4.4,437
DSL Software Ltd.,2.5,3.4,4.8,3.9,383
DSQ Software Limited,3.8,3.4,3.4,2.8,262
DSS Infotech Pvt. Ltd.,3.9,2,3.7,3.2,124
Duncan Infotech,4.6,2.1,4.4,5,286
Dusk Valley Technologies Ltd,4,2.5,5,4,390
E B C Publishing Pvt. Ltd.,3.5,4.1,2.7,4.1,124
e Three R Info Systems Pvt Ltd,2.4,5,4,3.7,425
Eastern Software Systems Ltd.,4,4.1,2.3,4,61
e-biz Concepts (India) ltd,3.4,4.4,3.1,3.1,105
E-Brahma Technologies (P) Ltd.,3.4,3.3,4.4,3.6,247
Eclipse Systems Pvt. Ltd.,4.5,4.9,2.5,2.3,133
Ecom Server India (P) Ltd,3.4,3.9,4.6,4.3,385
Ecomenable Pvt Ltd,4.1,2.6,2.5,4,654
EDS - Electronic Data Systems (India) Private Limited,4,1.3,3.7,2.8,30
Edutech Information India,4.1,3.2,3.4,3.3,381
e-enable Technologies Pvt Ltd,2.1,4.9,3.3,4.5,66
eFunds International Private Limited,3.3,3.3,4.2,3.9,994
e-Infochips Pvt. Ltd.,3.4,4.7,1.6,4.5,783
EKnowVenture Technologies Pvt Ltd,4.3,3.3,3.9,3.6,966
Electronics Corporation of Tamil Nadu Limited,3.5,4.1,2.9,3.7,406
Elgi Software Ltd.,3.5,4.7,4.9,4.5,262
Elind Computers Ltd,3.4,3.8,4.6,2.7,344
Emcure Infotech Ltd,3.8,3.6,5,3.9,57
Emerson Network Power (India) Pvt Ltd,4.1,3.4,3.7,3.2,202
eMR Technology Ventures Pvt. Ltd.,3.8,4.9,3.4,4.7,634
Encodex Technologies (India) Pvt. Ltd.,3.5,3.3,3,4.8,599
Enlink Infotech Pvt Ltd,3.1,2.2,3.5,4.6,376
Entcomm (Asia) Pvt. Ltd.,3.8,4.1,3.1,4.6,196
Eonour Software Ltd.,3.2,4.8,3.8,3.8,335
Epicenter Technologies Pvt Ltd,2.4,4.5,2.8,3.9,58
Escosoft Technologies Ltd.,3.2,4.4,3.1,3.8,379
ESN Technologies (I) Pvt Ltd,3.6,4.6,3.8,4.2,320
eSoft Consulting Ltd,2.2,3.4,3.5,3.2,59
Esols Worldwide Ltd.,3.9,1.4,2.9,4.6,805
eSpace Technologies Pvt.Ltd.,3.8,3.9,2.3,3.6,406
ESPL Systems Private Limited,4.4,1.7,4.7,3.6,846
"Essar Information Technology Ltd., Surat (DT)",3.5,3.4,5,3.2,664
Essel Software & Services Ltd.,3.5,1.3,3.8,2.6,188
Esskay Solutions Ltd,2.1,3.7,2.5,3.1,381
Etisbew.com Pvt Ltd,3.1,4.1,2,3.4,787
Euclid India Limited,4.7,3.8,3.5,3.8,5355
Euro Info Systems Pvt. Ltd.,4.2,5,3.8,3.9,338
Eutech Cybernetics (India) Pvt Ltd,2.4,4.1,3.1,4.3,194
Excel Infotech Ltd,4.5,3.3,2.9,4.5,246
Exel NetCommerce Ltd,3.8,3.4,2.6,4.5,484
Eximsoft Technologies Pvt. Ltd.,3.9,4.1,3.2,2,218
ExlService.Com (I) Pvt. Ltd.,3.4,4,4.4,2.7,297
