Company_Name,Skill_1,Skill_2,Skill_3,Domain,Location,Minimum_CGPA,Duration,Recommended_Degree
Aithent Technologies Pvt Ltd.,"PowerBI, Linux","Linux, Bash","OpenCV, Bash",Cloud Computing,Gurgaon,6.7,4 Months,B.E. Information Technology
Ajuba Solutions (India) Pvt. Ltd.,"Ethical Hacking, TensorFlow","PyTorch, Azure","AWS, Scikit-learn",Data Science & AI,Chennai,7.8,3 Months,B.E. Cloud Computing
Akash App Limited,"Digital Forensics, Librosa","Linux, Cybersecurity","Azure, SQL",Cybersecurity & Forensics,Chennai,9.4,4 Months,M.Sc Cyber Forensics
Akash Cloud Solutions,"Azure, JavaScript","Digital Forensics, NoSQL","SQL, Computer Vision",Cloud Computing,Chandigarh,6.8,4 Months,B.E. Cloud Computing
Akash Hub Networks,"Data Analysis, TensorFlow","Linux, Cybersecurity","Librosa, Java",Web Development,Remote,8.2,6 Months,B.Tech Computer Science
Akash Solutions Enterprises,"React, Machine Learning","PowerBI, Cybersecurity","TensorFlow, Incident Response",Data Science & AI,Delhi,8.6,3 Months,B.Sc / M.Sc Data Science
Akash Space Analytics,"SQL, Python","Pandas, NoSQL","Java, Kubernetes",Mobile App Development,Lucknow,6.4,3 Months,BCA / MCA
Akash Sys Systems,"Node.js, Scikit-learn","AWS, JavaScript","PowerBI, Python",Cybersecurity & Forensics,Kolkata,8.8,2 Months,BCA / MCA
Akash Web Labs,"Machine Learning, Python","Kubernetes, Python","Digital Forensics, Java",Mobile App Development,Noida,7.5,4 Months,B.E. Information Technology
Akshay Software Technologies Ltd.,"Librosa, React","AWS, JavaScript","Data Analysis, OpenCV",Mobile App Development,Mumbai,9.4,6 Months,B.Tech CS / IT
Alcatel India Limited.,"OpenCV, JavaScript","Kubernetes, Bash","Kubernetes, DevOps",Web Development,Gurgaon,6.5,6 Months,BCA / MCA
Algorithms Software Pvt. Ltd.,"Deep Learning, DevOps","Node.js, Network Security","Deep Learning, Librosa",Data Science & AI,Mumbai,7.5,3 Months,B.Sc Information Security
All e Technologies,"Python, GCP","Digital Forensics, PyTorch","Pandas, Docker",Software Engineering,Noida,6.3,2 Months,B.E. Information Technology
Allsoft Technologies Ltd,"Scikit-learn, Network Security","Docker, DevOps","Bash, GCP",Cybersecurity & Forensics,Secunderabad,8.8,6 Months,B.E. Cloud Computing
Alpha Analytics,"Java, NLP","Docker, Mobile Forensics","DevOps, C++",Data Science & AI,Chennai,9,12 Months,B.Tech CS / M.Tech
Alpha Consulting,"Librosa, React","Node.js, NLP","Network Security, Node.js",Database Administration,Remote,8.9,9 Months,B.E. Cloud Computing
Alpha Corp,"Docker, Deep Learning","C++, Cybersecurity","Bash, NLP",Data Science & AI,San Francisco,8.8,9 Months,B.Sc Statistics / Math
Alpha Dynamics,"Data Analysis, OpenCV","Java, Machine Learning","SQL, Ethical Hacking",Web Development,Pune,6.3,3 Months,B.Tech Computer Science
Alpha Innovations,"Node.js, DevOps","Librosa, C++",Data Analysis,Database Administration,Bangalore,9.1,6 Months,Mechanical Engineering
Alpha Labs,"C++, Computer Vision","Ethical Hacking, Bash",SQL,Database Administration,Gurgaon,6.8,4 Months,Mechanical Engineering
Alpha Networks,"NoSQL, Computer Vision","JavaScript, Azure","Data Analysis, PowerBI",Data Science & AI,Mumbai,8.6,6 Months,B.Tech CS / M.Tech
Alpha Security,"Mobile Forensics, Docker","Librosa, PyTorch","JavaScript, Ethical Hacking",Data Science & AI,Bangalore,9.4,2 Months,B.Sc Statistics / Math
Alpha Software,"DevOps, Computer Vision","Librosa, Data Analysis","Pandas, Machine Learning",Cybersecurity & Forensics,Seattle,6.7,3 Months,B.Tech Cybersecurity
Alpha Solutions,"Ethical Hacking, NLP","C++, SQL","PowerBI, PyTorch",Data Science & AI,Noida,7.5,12 Months,B.Sc / M.Sc Data Science
Alpha Systems,"Azure, Digital Forensics","Computer Vision, Librosa","GCP, OpenCV",Software Engineering,London,8.7,4 Months,B.Tech Computer Science
Alpha Tech,"Digital Forensics, PowerBI","Machine Learning, Docker","GCP, NLP",Cloud Computing,Chennai,7.6,3 Months,B.E. Cloud Computing
Alpha Technologies,"DevOps, AWS","PowerBI, PyTorch",Computer Vision,Cloud Computing,Hyderabad,7.3,3 Months,B.E. Cloud Computing
ALSTOM Systems Limited,"Ethical Hacking, Docker","Python, Machine Learning","Computer Vision, Java",Cybersecurity & Forensics,Noida,8.7,2 Months,BCA / MCA
Amazon,"Mobile Forensics, Linux","Kubernetes, React",Deep Learning,DevOps,Gurgaon,8.4,4 Months,B.E. Cloud Computing
Amazon Development Centre India,"Data Analysis, TensorFlow","Pandas, Scikit-learn","Python, GCP",Cybersecurity & Forensics,Kochi,6.5,3 Months,B.Tech CS / M.Tech
AMD,"Incident Response, Node.js","Cybersecurity, NoSQL",OpenCV,Web Development,Remote,6.6,6 Months,B.E. Information Technology
American Express (India) Pvt. Ltd.,"AWS, C++","Deep Learning, NLP","OpenCV, Scikit-learn",Cloud Computing,New Delhi,8.5,12 Months,Mechanical Engineering
American Megatrends (India) Pvt. Ltd,"C++, TensorFlow","Deep Learning, SQL","Network Security, Mobile Forensics",Cloud Computing,Chennai,6.2,2 Months,B.Tech CS / IT
AmitySoft Technologies Pvt Ltd,"Mobile Forensics, Docker","Kubernetes, Mobile Forensics","DevOps, Librosa",DevOps,Chennai,7,12 Months,B.E. Information Technology
Amoeba Telecom Ltd,"PyTorch, Pandas","Ethical Hacking, SQL","NoSQL, Computer Vision",Database Administration,Coimbatore,6.8,9 Months,BCA / MCA
Ampersand Software Applications Ltd.,Web Development,"Computer Vision, Cybersecurity","Docker, C++",Cloud Computing,Bangalore,6.7,4 Months,B.Tech CS / IT
Amsoft Information Services (I) Pvt. Ltd.,"Ethical Hacking, NLP","Java, Librosa",JavaScript,Cloud Computing,Bangalore,8.9,3 Months,B.Tech Cybersecurity
Amsoft Systems Pvt Ltd,"Linux, PyTorch","Linux, Cybersecurity","Azure, Mobile Forensics",Database Administration,Bangalore,6.4,12 Months,B.Tech Computer Science
AMSYS Infotech Pvt Ltd,"SQL, Pandas","Deep Learning, SQL","TensorFlow, Cybersecurity",Software Engineering,Noida,7.2,4 Months,Mechanical Engineering
Anjaleem Enterprises Pvt.,"Mobile Forensics, DevOps","PowerBI, OpenCV","Computer Vision, Docker",Cybersecurity & Forensics,Noida,9.1,4 Months,B.E. Information Technology
Annet Communications Pvt Ltd,"Azure, Cybersecurity","Java, Machine Learning","TensorFlow, Cybersecurity",Web Development,Mumbai,8.5,2 Months,B.Tech Computer Science
An-Net Infotech Limited,"Ethical Hacking, NLP","Java, Node.js","Incident Response, C++",Software Engineering,New Delhi,8.4,2 Months,B.E. Cloud Computing
Annik Systems Pvt Ltd,"PowerBI, SQL","C++, Docker","Bash, Mobile Forensics",Software Engineering,New Delhi,8,3 Months,BCA / MCA
Ansal Housing & Construction Ltd,"Scikit-learn, Pandas","Java, Scikit-learn","Digital Forensics, Java",Cybersecurity & Forensics,New Delhi,6.7,4 Months,BCA / MCA
Antares Systems Pvt Ltd,"Scikit-learn, Cybersecurity","PowerBI, Kubernetes",PowerBI,Software Engineering,Bangalore,6.8,3 Months,BCA / MCA
ANZ Information Technology Pvt. Ltd.,"C++, Azure","PyTorch, Computer Vision",Kubernetes,Cybersecurity & Forensics,Bangalore,6.4,12 Months,B.Sc / M.Sc Data Science
Apar Technologies Ltd,"PowerBI, Ethical Hacking","Python, NoSQL","Kubernetes, Digital Forensics",Cloud Computing,Mumbai,8.2,9 Months,Mechanical Engineering
Apex Analytics,"GCP, Ethical Hacking","Digital Forensics, Librosa","TensorFlow, Python",Cloud Computing,Remote,8.9,4 Months,B.E. Cloud Computing
Apex Computer & Engineering Services,"Node.js, TensorFlow","Node.js, Python","NoSQL, PowerBI",Web Development,Goa,8.4,2 Months,B.Tech Cybersecurity
Apex Consulting,"Kubernetes, Docker","Data Analysis, Network Security","Python, React",Mobile App Development,London,7.3,6 Months,B.Tech Computer Science
Apex Defense,"Linux, Computer Vision","Java, Python","Machine Learning, NoSQL",Mobile App Development,Remote,8.5,3 Months,B.E. Information Technology
Apex Group,"PowerBI, Linux","Java, Incident Response","Node.js, OpenCV",Cloud Computing,Seattle,6.3,2 Months,B.E. Cloud Computing
Apex Inc,"Scikit-learn, C++","Data Analysis, Cybersecurity","Pandas, Node.js",DevOps,Seattle,8.7,4 Months,B.Tech CS / IT
Apex Innovations,"Computer Vision, DevOps","NLP, NoSQL",Linux,Software Engineering,Gurgaon,8.9,4 Months,B.Tech Computer Science
Apex Labs,"GCP, Python","Linux, Digital Forensics",Python,Data Science & AI,Kolkata,6.1,4 Months,B.Sc Statistics / Math
Apex Networks,"AWS, SQL","Scikit-learn, SQL","Machine Learning, Linux",Data Science & AI,Hyderabad,7.4,2 Months,B.Tech CS / M.Tech
Apex Security,"Java, TensorFlow","Deep Learning, Node.js","SQL, NoSQL",Data Science & AI,Hyderabad,8.4,6 Months,B.Tech CS / M.Tech
Apex Software,"Deep Learning, React","Mobile Forensics, PyTorch","Pandas, Scikit-learn",Cloud Computing,Remote,8.4,3 Months,Mechanical Engineering
Apex Tech,"Linux, PyTorch","DevOps, Mobile Forensics","Node.js, React",Data Science & AI,Remote,6.8,3 Months,B.Sc Statistics / Math
Apex Technologies Pvt. Ltd.,"Ethical Hacking, Network Security","Docker, Cybersecurity",GCP,Mobile App Development,Bangalore,6.1,6 Months,B.Tech Computer Science
Apple,"NLP, SQL","OpenCV, PyTorch",Java,Database Administration,San Francisco,6.7,12 Months,B.Tech CS / IT
Applied Software Pvt. Ltd.,"Network Security, Cybersecurity","Java, Pandas","GCP, JavaScript",Database Administration,Ahmedabad,9.1,6 Months,B.Tech CS / IT
Apt Software Avenues Pvt. Ltd.,"NoSQL, NLP","PowerBI, TensorFlow","JavaScript, Java",Cloud Computing,Kolkata,8.9,2 Months,BCA / MCA
Aptech Limited.,"GCP, React","GCP, SQL","Java, Azure",Cybersecurity & Forensics,Mumbai,8.6,12 Months,Mechanical Engineering
Aravali App Ventures,"PowerBI, Deep Learning","SQL, JavaScript","Computer Vision, Java",Database Administration,Remote,7.4,9 Months,B.E. Cloud Computing
Aravali Cloud Labs,"Deep Learning, NLP","AWS, Digital Forensics","NLP, Docker",Cloud Computing,Bangalore,6.2,9 Months,B.Tech CS / IT
Aravali Com Pvt Ltd,"SQL, Ethical Hacking","Digital Forensics, Bash","NLP, Ethical Hacking",Cybersecurity & Forensics,Lucknow,8.9,12 Months,B.Tech Cybersecurity
Aravali Labs Technologies,"Cybersecurity, DevOps","Java, Digital Forensics","Python, Network Security",Database Administration,Remote,8.1,4 Months,Mechanical Engineering
Aravali Link Group,"Machine Learning, AWS","Linux, Machine Learning","AWS, Librosa",Cloud Computing,Jaipur,6.5,2 Months,B.E. Cloud Computing
Aravali Link Labs,"Docker, Linux","C++, React","Machine Learning, Digital Forensics",DevOps,Remote,8.2,6 Months,B.Tech CS / IT
Aravali Sys Limited,"Incident Response, NoSQL","GCP, React","Librosa, PyTorch",Cybersecurity & Forensics,Mumbai,6.7,3 Months,B.Sc Information Security
Aravali Tech Ventures,"Digital Forensics, GCP","Linux, Incident Response","Ethical Hacking, Python",Database Administration,Remote,7.9,9 Months,Mechanical Engineering
Aravali Web Networks,"Cybersecurity, Digital Forensics","Java, Machine Learning","Pandas, Scikit-learn",Web Development,Lucknow,8.5,12 Months,B.Tech Computer Science
ARB Software India (P) Ltd.,"Ethical Hacking, Docker","NLP, Kubernetes","Machine Learning, Data Analysis",Mobile App Development,Kolkata,7.3,2 Months,B.Tech CS / IT
Aress Software & Education Technologies (P) Ltd.,"SQL, Ethical Hacking","Kubernetes, Ethical Hacking","NoSQL, PowerBI",Data Science & AI,Nasik,6.7,6 Months,M.Sc Cyber Forensics
Arthur Andersen India Private Limited,"Data Analysis, Bash","Bash, Ethical Hacking","Docker, GCP",Data Science & AI,New Delhi,9.4,3 Months,B.Tech Computer Science
Arthur D. Little India Consultancy,"Computer Vision, SQL","JavaScript, Java","OpenCV, Bash",Cloud Computing,Mumbai,7,12 Months,B.Tech CS / M.Tech
Arya Communications & Electronics Services Ltd.,"Node.js, Cybersecurity","GCP, Deep Learning","NoSQL, PowerBI",Cybersecurity & Forensics,Mumbai,7.6,3 Months,B.Tech CS / IT
Aryabhatta Solutions Ltd.,"PowerBI, Ethical Hacking","Linux, Digital Forensics","Incident Response, Scikit-learn",Cybersecurity & Forensics,Mumbai,6,2 Months,B.Tech CS / IT
Ashtech Infotech Pvt. Ltd.,"GCP, AWS","SQL, Azure","JavaScript, Node.js",Software Engineering,Mumbai,6.5,9 Months,B.Tech CS / IT
ASL Technologies Ltd.,"SQL, Incident Response","OpenCV, Computer Vision","Kubernetes, Ethical Hacking",DevOps,New Delhi,8.9,6 Months,B.Tech Computer Science
ASM Technologies Limited,"Bash, Pandas","Machine Learning, NLP","NoSQL, SQL",Software Engineering,Bangalore,6.4,2 Months,Mechanical Engineering
Astral Tele*Foundation Pvt. Ltd.,"Deep Learning, DevOps","C++, Machine Learning","Kubernetes, Python",Cybersecurity & Forensics,Bangalore,6.5,4 Months,B.E. Information Technology
Atari Informatics Ltd.,"TensorFlow, Cybersecurity","C++, Digital Forensics","Docker, Kubernetes",Web Development,New Delhi,8,6 Months,B.Tech Computer Science
Atika Computer Education Services,"Scikit-learn, AWS","Machine Learning, Bash","Node.js, React",Web Development,Goa,7.4,4 Months,B.E. Information Technology
Atos Origin India Private Limited,"SQL, Computer Vision","Incident Response, Deep Learning","Network Security, Linux",Cloud Computing,Mumbai,6.4,6 Months,B.E. Cloud Computing
Autodesk India Pvt. Ltd.,"React, Azure","Data Analysis, Librosa","NoSQL, Java",Data Science & AI,Bangalore,6.4,12 Months,Mechanical Engineering
Avantel Softech Ltd.,"NLP, Bash","JavaScript, Azure","Bash, Deep Learning",Cloud Computing,Hyderabad,8.8,6 Months,M.Sc Cyber Forensics
Aver Software Technologies Ltd.,"Kubernetes, PyTorch","SQL, Linux","Cybersecurity, Data Analysis",Database Administration,Mumbai,7.9,9 Months,B.Tech CS / IT
Aviation Software Development Consultancy India Ltd.,"Linux, Cybersecurity","Pandas, SQL","React, C++",Database Administration,Chennai,8.3,3 Months,B.E. Information Technology
AVL India Software Pvt Ltd,"TensorFlow, Data Analysis","Python, Scikit-learn","TensorFlow, Bash",Cybersecurity & Forensics,Gurgaon,6.1,6 Months,B.Tech CS / IT
AXA Business Services Pvt Ltd,Web Development,"Computer Vision, Bash","Scikit-learn, C++",Software Engineering,Bangalore,8.8,3 Months,B.Sc Statistics / Math
Axes Technologies (I) Pvt Ltd,"SQL, Incident Response","Node.js, NoSQL","Kubernetes, Computer Vision",Software Engineering,Bangalore,9.1,4 Months,B.E. Information Technology
Axiom Solutions Pvt Ltd,Web Development,"SQL, Pandas",Cybersecurity,DevOps,Mumbai,6.9,3 Months,B.Sc / M.Sc Data Science
AXS Online (P) Ltd,"Deep Learning, Linux","React, AWS","SQL, NLP",Mobile App Development,Bangalore,7.1,6 Months,B.Tech Computer Science
Aztec Software & Technologies(P) Ltd.,"TensorFlow, GCP","Deep Learning, AWS","Machine Learning, Docker",Data Science & AI,Bangalore,7.9,9 Months,B.Tech CS / IT
Aztek Systems Pvt Ltd,"DevOps, AWS","PyTorch, PowerBI","Librosa, Computer Vision",Mobile App Development,Bangalore,9.1,3 Months,B.Sc Information Security
BAeHAL Software Limited,"Machine Learning, Computer Vision","React, Deep Learning",Azure,Cloud Computing,Bangalore,6.8,6 Months,B.Sc Information Security
Bamboo Software Solutions Pvt. Ltd,"Incident Response, Ethical Hacking","Java, Machine Learning","Bash, Kubernetes",Web Development,Hyderabad,7.6,9 Months,Mechanical Engineering
Bangalore Softsell Ltd,"JavaScript, NoSQL","Computer Vision, Bash",Kubernetes,Cybersecurity & Forensics,Bangalore,9.1,3 Months,B.E. Information Technology
Bangalore Software Services Ltd,"Scikit-learn, Cybersecurity","GCP, Digital Forensics","DevOps, Linux",Cloud Computing,Bangalore,7.9,4 Months,B.E. Information Technology
Barry-Wehmiller International Resources Pvt Ltd,"JavaScript, TensorFlow","OpenCV, Deep Learning","DevOps, Incident Response",Cloud Computing,Chennai,9.2,4 Months,B.Tech CS / IT
Bells Softech Limited,"C++, JavaScript","DevOps, NLP","Ethical Hacking, Mobile Forensics",Mobile App Development,Bangalore,8.1,4 Months,Mechanical Engineering
Beni Softwares Pvt Ltd,"GCP, SQL","Docker, Cybersecurity","Node.js, OpenCV",Data Science & AI,Jalandhar,9.4,4 Months,M.Sc Cyber Forensics
Bentley Systems India Pvt Ltd,"Python, Incident Response","Linux, Machine Learning","Mobile Forensics, TensorFlow",DevOps,New Delhi,8.3,9 Months,Mechanical Engineering
